dataset,mean_ibs_cox,sd_ibs_cox,mean_ibs_rsf,sd_ibs_rsf,missingness_lvl,mechanism,pipeline,model,pipeline_id
rotterdam_missing_30_MAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.2063183930166274,0.0290401937581433,0.1947258316813319,0.0222948225798604,30,MAR,L,COX,6
rotterdam_missing_30_MAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2255463021866913,0.0262719702707557,30,MAR,L,COX,7
rotterdam_missing_30_MAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2415586569350538,0.0343236981330106,30,MAR,L,COX,8
rotterdam_missing_30_MAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1852643563472448,0.0195747713014926,30,MAR,L,COX,9
rotterdam_missing_30_MAR.csv_pipeline_0_9_10_0_16_COX_cleaned,0.628491174503431,0.0421555504567265,0.183329391846387,0.0189426297544471,30,MAR,L,COX,10
rotterdam_missing_40_MAR.csv_pipeline_0_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.1804001971868525,0.010653926072146,40,MAR,L,COX,1
rotterdam_missing_40_MAR.csv_pipeline_0_11_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1876139721979624,0.0213574534809409,40,MAR,L,COX,2
rotterdam_missing_40_MAR.csv_pipeline_0_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1876139721979624,0.0213574534809409,40,MAR,L,COX,3
rotterdam_missing_40_MAR.csv_pipeline_0_13_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1876139721979624,0.0213574534809409,40,MAR,L,COX,4
rotterdam_missing_40_MAR.csv_pipeline_0_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1876139721979624,0.0213574534809409,40,MAR,L,COX,5
rotterdam_missing_40_MAR.csv_pipeline_0_5_9_16_COX_cleaned,0.1880852424905778,0.0301644969366837,0.1802328754237508,0.0231394139070081,40,MAR,L,COX,6
rotterdam_missing_40_MAR.csv_pipeline_0_6_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.236025970657093,0.0341989817060404,40,MAR,L,COX,7
rotterdam_missing_40_MAR.csv_pipeline_0_7_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.2133766701304466,0.0120826774337987,40,MAR,L,COX,8
rotterdam_missing_40_MAR.csv_pipeline_0_8_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1876139721979624,0.0213574534809409,40,MAR,L,COX,9
rotterdam_missing_40_MAR.csv_pipeline_0_9_16_COX_cleaned,0.5777196457396772,0.1064635261624206,0.1726602581071671,0.0180025437075521,40,MAR,L,COX,10
rotterdam_missing_20_MAR.csv_pipeline_0_5_10_16_COX_cleaned,0.2053566254960784,0.029364210752218,0.1856101739675653,0.0204760686449681,20,MAR,R,COX,1
rotterdam_missing_20_MAR.csv_pipeline_1_11_12_16_COX_cleaned,0.5905259469282318,0.0632679999319846,0.1879638151633482,0.0287863305004996,20,MAR,R,COX,2
rotterdam_missing_20_MAR.csv_pipeline_2_6_9_12_16_COX_cleaned,0.596637567540321,0.0432225255269981,0.2030673925813346,0.0257126777740787,20,MAR,R,COX,3
rotterdam_missing_20_MAR.csv_pipeline_2_7_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1693779119735069,0.0170896745988056,20,MAR,R,COX,4
rotterdam_missing_20_MAR.csv_pipeline_3_5_9_12_16_COX_cleaned,0.1863743300707304,0.0209515462193794,0.1714738052293826,0.0187428966636297,20,MAR,R,COX,5
rotterdam_missing_20_MAR.csv_pipeline_3_6_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2282966236548063,0.0295250226647468,20,MAR,R,COX,6
rotterdam_missing_20_MAR.csv_pipeline_3_7_11_12_16_COX_cleaned,0.6206290381315106,0.0443129944194187,0.2431251025179362,0.0330027444367266,20,MAR,R,COX,7
rotterdam_missing_20_MAR.csv_pipeline_3_8_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.171674014451893,0.0114511261885197,20,MAR,R,COX,8
rotterdam_missing_20_MAR.csv_pipeline_4_11_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1822534389887226,0.0235147105425966,20,MAR,R,COX,9
rotterdam_missing_20_MAR.csv_pipeline_4_9_16_COX_cleaned,0.5785272970910003,0.1031397493671913,0.1665455882036726,0.0173186888309534,20,MAR,R,COX,10
