dataset,mean_ibs_cox,sd_ibs_cox,mean_ibs_rsf,sd_ibs_rsf,missingness_lvl,mechanism,pipeline,model,pipeline_id
rotterdam_missing_10_MCAR.csv_pipeline_2_6_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2283126290423189,0.0253570459249576,10,MCAR,R,COX,4
rotterdam_missing_10_MCAR.csv_pipeline_2_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1723876427383159,0.017101952141826,10,MCAR,R,COX,5
rotterdam_missing_10_MCAR.csv_pipeline_3_5_12_16_COX_cleaned,0.2005348702247274,0.0310925452308423,0.1873977614687014,0.0214882381439372,10,MCAR,R,COX,6
rotterdam_missing_10_MCAR.csv_pipeline_3_7_10_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.181553225259939,0.0167469813711853,10,MCAR,R,COX,7
rotterdam_missing_10_MCAR.csv_pipeline_4_5_10_12_16_COX_cleaned,0.2032084471193772,0.0265190071271837,0.1863292076152221,0.0177917656207565,10,MCAR,R,COX,8
rotterdam_missing_10_MCAR.csv_pipeline_4_6_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2289686456667786,0.0261915851666924,10,MCAR,R,COX,9
rotterdam_missing_10_MCAR.csv_pipeline_4_8_14_16_COX_cleaned,0.6909322410876562,0.0381524270080325,0.1680223350912962,0.0093587764986559,10,MCAR,R,COX,10
rotterdam_missing_40_MCAR.csv_pipeline_0_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1905241729756469,0.021497960817095,40,MCAR,R,COX,1
rotterdam_missing_40_MCAR.csv_pipeline_0_8_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1905241729756469,0.021497960817095,40,MCAR,R,COX,2
rotterdam_missing_40_MCAR.csv_pipeline_0_8_9_16_COX_cleaned,0.5780258167787203,0.1052012860875822,0.1742131821021823,0.01799799042303,40,MCAR,R,COX,3
rotterdam_missing_40_MCAR.csv_pipeline_1_11_14_16_COX_cleaned,0.6770659486448614,0.0384694298601811,0.1637290653218127,0.0102526159409324,40,MCAR,R,COX,4
rotterdam_missing_40_MCAR.csv_pipeline_1_7_9_12_16_COX_cleaned,0.6141265280522293,0.0325545904757765,0.2205405751539772,0.0174539303399541,40,MCAR,R,COX,5
rotterdam_missing_40_MCAR.csv_pipeline_1_8_11_12_16_COX_cleaned,0.6356057329880335,0.0422428333718411,0.1825076211560132,0.0241445323117311,40,MCAR,R,COX,6
rotterdam_missing_40_MCAR.csv_pipeline_2_5_10_12_16_COX_cleaned,0.1866501762535492,0.0224668410603867,0.140791964269118,0.0142823511551588,40,MCAR,R,COX,7
rotterdam_missing_40_MCAR.csv_pipeline_2_7_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2224943403507779,0.0280717554551607,40,MCAR,R,COX,8
rotterdam_missing_40_MCAR.csv_pipeline_3_8_11_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1905241729756469,0.021497960817095,40,MCAR,R,COX,9
rotterdam_missing_40_MCAR.csv_pipeline_4_6_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2284001997003837,0.025742663008665,40,MCAR,R,COX,10
rotterdam_missing_30_MCAR.csv_pipeline_0_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.1832550933038896,0.0125643657995276,30,MCAR,R,COX,1
rotterdam_missing_30_MCAR.csv_pipeline_0_5_10_12_16_COX_cleaned,0.2085940635444745,0.0279567455113155,0.1937740073126077,0.0204542311196205,30,MCAR,R,COX,2
rotterdam_missing_30_MCAR.csv_pipeline_0_6_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2347757618276086,0.0303707738756141,30,MCAR,R,COX,3
rotterdam_missing_30_MCAR.csv_pipeline_2_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1547325487961787,0.0185488809206589,30,MCAR,R,COX,4
rotterdam_missing_30_MCAR.csv_pipeline_2_5_12_16_COX_cleaned,0.1953688909294147,0.032362746475798,0.157838707475945,0.018191774854639,30,MCAR,R,COX,5
rotterdam_missing_30_MCAR.csv_pipeline_2_7_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1547325487961787,0.0185488809206589,30,MCAR,R,COX,6
rotterdam_missing_30_MCAR.csv_pipeline_2_8_9_12_16_COX_cleaned,0.5774474349924235,0.107587957149329,0.146863515418756,0.016515886854629,30,MCAR,R,COX,7
rotterdam_missing_30_MCAR.csv_pipeline_3_7_9_12_16_COX_cleaned,0.5912835822372848,0.0556312219845271,0.2213701346880706,0.0327332484827214,30,MCAR,R,COX,8
rotterdam_missing_30_MCAR.csv_pipeline_3_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1889344128840568,0.0207871120225206,30,MCAR,R,COX,9
rotterdam_missing_30_MCAR.csv_pipeline_3_8_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.195724444226452,0.0308488143929349,30,MCAR,R,COX,10
rotterdam_missing_20_MCAR.csv_pipeline_0_6_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2333138207692652,0.0304782671868078,20,MCAR,R,COX,1
rotterdam_missing_20_MCAR.csv_pipeline_0_7_9_14_16_COX_cleaned,0.6772822576863258,0.0452864538920932,0.1810586778693697,0.0161231178995877,20,MCAR,R,COX,2
rotterdam_missing_20_MCAR.csv_pipeline_0_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1851240483045873,0.0170561758710973,20,MCAR,R,COX,3
rotterdam_missing_20_MCAR.csv_pipeline_0_8_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1864808893656137,0.0215674590278886,20,MCAR,R,COX,4
rotterdam_missing_20_MCAR.csv_pipeline_1_5_10_12_16_COX_cleaned,0.2147344030874379,0.0378931959826935,0.2021552794880792,0.0247579853906415,20,MCAR,R,COX,5
rotterdam_missing_20_MCAR.csv_pipeline_1_5_9_12_16_COX_cleaned,0.2111175086725267,0.0397119247923079,0.1991214534408964,0.0283105522519625,20,MCAR,R,COX,6
rotterdam_missing_20_MCAR.csv_pipeline_3_5_9_12_16_COX_cleaned,0.1859141302844016,0.0267548317547784,0.1783040352648622,0.0215175179420124,20,MCAR,R,COX,7
rotterdam_missing_20_MCAR.csv_pipeline_3_8_9_12_16_COX_cleaned,0.5777339853168195,0.1064043498507642,0.1716568110682473,0.0172231356117788,20,MCAR,R,COX,8
rotterdam_missing_20_MCAR.csv_pipeline_4_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.1817986571652602,0.0124863679076256,20,MCAR,R,COX,9
rotterdam_missing_20_MCAR.csv_pipeline_4_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1876551217422903,0.0227125070280968,20,MCAR,R,COX,10
rotterdam_missing_50_MCAR.csv_pipeline_0_5_11_12_16_COX_cleaned,0.1964244884929046,0.0286272301007118,0.1864930170992595,0.0203169469726033,50,MCAR,R,COX,1
rotterdam_missing_50_MCAR.csv_pipeline_0_5_14_16_COX_cleaned,0.1825075978890657,0.0077607587407343,0.1771940802453588,0.0078691834501994,50,MCAR,R,COX,2
rotterdam_missing_50_MCAR.csv_pipeline_0_5_9_14_16_COX_cleaned,0.1888809934937395,0.0132561173263287,0.1820327114223844,0.0106265366827707,50,MCAR,R,COX,3
rotterdam_missing_50_MCAR.csv_pipeline_0_8_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1957088582722463,0.0222601913099567,50,MCAR,R,COX,4
rotterdam_missing_50_MCAR.csv_pipeline_2_5_11_12_16_COX_cleaned,0.1831975596612511,0.0255020900336686,0.1317165704730709,0.0170343876166042,50,MCAR,R,COX,5
rotterdam_missing_50_MCAR.csv_pipeline_2_7_9_16_COX_cleaned,0.577055972218012,0.1092084804741159,0.1221399917792452,0.0102939472253435,50,MCAR,R,COX,6
rotterdam_missing_50_MCAR.csv_pipeline_3_5_9_14_16_COX_cleaned,0.1893802305385314,0.0149205717631405,0.1826642070700921,0.0126120803485213,50,MCAR,R,COX,7
rotterdam_missing_50_MCAR.csv_pipeline_3_6_11_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2356735705972697,0.0312296564115073,50,MCAR,R,COX,8
rotterdam_missing_50_MCAR.csv_pipeline_4_5_9_12_16_COX_cleaned,0.1859937759141962,0.0223412765422637,0.1782175893959375,0.0164799521459192,50,MCAR,R,COX,9
rotterdam_missing_50_MCAR.csv_pipeline_4_9_12_16_COX_cleaned,0.5988803608807645,0.0411716248739772,0.1807617196339993,0.0188458571335357,50,MCAR,R,COX,10
rotterdam_missing_20_MNAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1794773080671304,0.0156422004286326,20,MNAR,L,COX,1
rotterdam_missing_20_MNAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1794773080671304,0.0156422004286326,20,MNAR,L,COX,2
rotterdam_missing_20_MNAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.2001885339648635,0.0238838318976735,0.1824318223486321,0.0156770625919256,20,MNAR,L,COX,3
rotterdam_missing_20_MNAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1794773080671304,0.0156422004286326,20,MNAR,L,COX,4
rotterdam_missing_20_MNAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1794773080671304,0.0156422004286326,20,MNAR,L,COX,5
rotterdam_missing_20_MNAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.2001885339648635,0.0238838318976735,0.1824318223486321,0.0156770625919256,20,MNAR,L,COX,6
rotterdam_missing_20_MNAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2264473933323738,0.0255724428679836,20,MNAR,L,COX,7
rotterdam_missing_20_MNAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2415586569350538,0.0343236981330106,20,MNAR,L,COX,8
rotterdam_missing_20_MNAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1794773080671304,0.0156422004286326,20,MNAR,L,COX,9
rotterdam_missing_20_MNAR.csv_pipeline_0_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1794773080671304,0.0156422004286326,20,MNAR,L,COX,10
rotterdam_missing_50_MNAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.196791278808808,0.0232020307245897,50,MNAR,L,COX,1
rotterdam_missing_50_MNAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.196791278808808,0.0232020307245897,50,MNAR,L,COX,2
rotterdam_missing_50_MNAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.2019489185626982,0.023456555106304,0.1925412120076346,0.0226893713261861,50,MNAR,L,COX,3
rotterdam_missing_50_MNAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.196791278808808,0.0232020307245897,50,MNAR,L,COX,4
rotterdam_missing_50_MNAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.196791278808808,0.0232020307245897,50,MNAR,L,COX,5
rotterdam_missing_50_MNAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.2019489185626982,0.023456555106304,0.1925412120076346,0.0226893713261861,50,MNAR,L,COX,6
rotterdam_missing_50_MNAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2207076704821743,0.0271860716644264,50,MNAR,L,COX,7
rotterdam_missing_50_MNAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2415586569350538,0.0343236981330106,50,MNAR,L,COX,8
rotterdam_missing_50_MNAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.196791278808808,0.0232020307245897,50,MNAR,L,COX,9
rotterdam_missing_50_MNAR.csv_pipeline_0_9_10_0_16_COX_cleaned,0.628491174503431,0.0421555504567265,0.1932672197574041,0.0235248334888498,50,MNAR,L,COX,10
rotterdam_missing_40_MNAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1842729561629144,0.0182346514275239,40,MNAR,L,COX,1
rotterdam_missing_40_MNAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1842729561629144,0.0182346514275239,40,MNAR,L,COX,2
rotterdam_missing_40_MNAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.215736924506951,0.0326208645046141,0.1886167966581813,0.0200231190040298,40,MNAR,L,COX,3
rotterdam_missing_40_MNAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1842729561629144,0.0182346514275239,40,MNAR,L,COX,4
rotterdam_missing_40_MNAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1842729561629144,0.0182346514275239,40,MNAR,L,COX,5
rotterdam_missing_40_MNAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.215736924506951,0.0326208645046141,0.1886167966581813,0.0200231190040298,40,MNAR,L,COX,6
rotterdam_missing_40_MNAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2112518844468431,0.021018706283446,40,MNAR,L,COX,7
rotterdam_missing_40_MNAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2415586569350538,0.0343236981330106,40,MNAR,L,COX,8
rotterdam_missing_40_MNAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1842729561629144,0.0182346514275239,40,MNAR,L,COX,9
rotterdam_missing_40_MNAR.csv_pipeline_0_9_10_0_16_COX_cleaned,0.628491174503431,0.0421555504567265,0.1823601607196743,0.0174802102917343,40,MNAR,L,COX,10
rotterdam_missing_30_MNAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1863019437451464,0.0213167816356154,30,MNAR,L,COX,1
rotterdam_missing_30_MNAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1863019437451464,0.0213167816356154,30,MNAR,L,COX,2
rotterdam_missing_30_MNAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.2073390084706319,0.0293661721010102,0.1919613062903547,0.0242029757153247,30,MNAR,L,COX,3
rotterdam_missing_30_MNAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1863019437451464,0.0213167816356154,30,MNAR,L,COX,4
rotterdam_missing_30_MNAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1863019437451464,0.0213167816356154,30,MNAR,L,COX,5
rotterdam_missing_30_MNAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.2073390084706319,0.0293661721010102,0.1919613062903547,0.0242029757153247,30,MNAR,L,COX,6
rotterdam_missing_30_MNAR.csv_pipeline_0_5_9_12_16_COX_cleaned,0.187521091659481,0.0296602496004271,0.1765892150997567,0.0272927350817357,30,MNAR,L,COX,7
rotterdam_missing_30_MNAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2286919650783152,0.0249232068745993,30,MNAR,L,COX,8
rotterdam_missing_30_MNAR.csv_pipeline_0_6_9_14_16_COX_cleaned,0.6772822576863258,0.0452864538920932,0.2107627469252712,0.0171389432869479,30,MNAR,L,COX,9
rotterdam_missing_30_MNAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2415586569350538,0.0343236981330106,30,MNAR,L,COX,10
rotterdam_missing_10_MNAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1805243494686667,0.017074665457791,10,MNAR,L,COX,1
rotterdam_missing_10_MNAR.csv_pipeline_0_11_14_16_COX_cleaned,0.6909322410876562,0.0381524270080325,0.1665557647031703,0.0104420561299116,10,MNAR,L,COX,2
rotterdam_missing_10_MNAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1805243494686667,0.017074665457791,10,MNAR,L,COX,3
rotterdam_missing_10_MNAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.2169044916724772,0.028677029605486,0.2001814608731846,0.0207185107020733,10,MNAR,L,COX,4
rotterdam_missing_10_MNAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1805243494686667,0.017074665457791,10,MNAR,L,COX,5
rotterdam_missing_10_MNAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1805243494686667,0.017074665457791,10,MNAR,L,COX,6
rotterdam_missing_10_MNAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.2169044916724772,0.028677029605486,0.2001814608731846,0.0207185107020733,10,MNAR,L,COX,7
rotterdam_missing_10_MNAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2261283775175828,0.025978495554832,10,MNAR,L,COX,8
rotterdam_missing_10_MNAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1805243494686667,0.017074665457791,10,MNAR,L,COX,9
rotterdam_missing_10_MNAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1805243494686667,0.017074665457791,10,MNAR,L,COX,10
rotterdam_missing_10_MNAR.csv_pipeline_1_10_14_16_COX_cleaned,0.6765490188145098,0.0247027965707617,0.1802912601714571,0.0112610006292944,10,MNAR,R,COX,1
rotterdam_missing_10_MNAR.csv_pipeline_1_8_11_12_16_COX_cleaned,0.6188704974689982,0.0483758593635279,0.180088355597061,0.016562042108131,10,MNAR,R,COX,2
rotterdam_missing_10_MNAR.csv_pipeline_1_8_9_12_16_COX_cleaned,0.5910897759020144,0.0473573866603129,0.1671269489123996,0.0184751880183457,10,MNAR,R,COX,3
rotterdam_missing_10_MNAR.csv_pipeline_2_6_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2314844283511179,0.0336123225801657,10,MNAR,R,COX,4
rotterdam_missing_10_MNAR.csv_pipeline_3_5_11_16_COX_cleaned,0.2158104640198626,0.0314102854007879,0.200414776387734,0.022976629672053,10,MNAR,R,COX,5
rotterdam_missing_10_MNAR.csv_pipeline_3_7_9_16_COX_cleaned,0.5777091660864613,0.106506777034805,0.1665939766089187,0.0166385856211046,10,MNAR,R,COX,6
rotterdam_missing_10_MNAR.csv_pipeline_4_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1810592868501999,0.0224736139861321,10,MNAR,R,COX,7
rotterdam_missing_10_MNAR.csv_pipeline_4_5_11_16_COX_cleaned,0.2155077136948263,0.030716626967106,0.1995465892054662,0.0226482987787241,10,MNAR,R,COX,8
rotterdam_missing_10_MNAR.csv_pipeline_4_5_12_16_COX_cleaned,0.2155077136948263,0.030716626967106,0.1995465892054662,0.0226482987787241,10,MNAR,R,COX,9
rotterdam_missing_10_MNAR.csv_pipeline_4_7_9_14_16_COX_cleaned,0.6772822576863258,0.0452864538920932,0.207013087466575,0.0170123206957814,10,MNAR,R,COX,10
rotterdam_missing_30_MNAR.csv_pipeline_0_6_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.2104286717644701,0.0132733679029788,30,MNAR,R,COX,1
rotterdam_missing_30_MNAR.csv_pipeline_0_6_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2333139618781578,0.033432210571264,30,MNAR,R,COX,2
rotterdam_missing_30_MNAR.csv_pipeline_0_9_12_16_COX_cleaned,0.5879967002859904,0.0664523683894072,0.1706585466867158,0.0206689378737687,30,MNAR,R,COX,3
rotterdam_missing_30_MNAR.csv_pipeline_2_8_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1462793098248701,0.0175078469954499,30,MNAR,R,COX,4
rotterdam_missing_30_MNAR.csv_pipeline_3_5_10_12_16_COX_cleaned,0.2073390084706319,0.0293661721010102,0.1919613062903547,0.0242029757153247,30,MNAR,R,COX,5
rotterdam_missing_30_MNAR.csv_pipeline_3_6_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.2104286717644701,0.0132733679029788,30,MNAR,R,COX,6
rotterdam_missing_30_MNAR.csv_pipeline_3_7_9_16_COX_cleaned,0.5912835822372848,0.0556312219845271,0.2213701346880706,0.0327332484827214,30,MNAR,R,COX,7
rotterdam_missing_30_MNAR.csv_pipeline_3_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1863019437451464,0.0213167816356154,30,MNAR,R,COX,8
rotterdam_missing_30_MNAR.csv_pipeline_4_6_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2319804953564274,0.0329109221318365,30,MNAR,R,COX,9
rotterdam_missing_30_MNAR.csv_pipeline_4_7_9_14_16_COX_cleaned,0.6772822576863258,0.0452864538920932,0.2175384626428772,0.0163645605047976,30,MNAR,R,COX,10
rotterdam_missing_40_MNAR.csv_pipeline_0_7_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2415586569350538,0.0343236981330106,40,MNAR,R,COX,1
rotterdam_missing_40_MNAR.csv_pipeline_1_12_16_COX_cleaned,0.5801894994382054,0.0408322870716354,0.1784074948454918,0.0172316376351067,40,MNAR,R,COX,2
rotterdam_missing_40_MNAR.csv_pipeline_1_9_12_16_COX_cleaned,0.5743370943071516,0.0339338879720315,0.1762775956921639,0.0178944995551107,40,MNAR,R,COX,3
rotterdam_missing_40_MNAR.csv_pipeline_2_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.1406770510022406,0.0075434646749928,40,MNAR,R,COX,4
rotterdam_missing_40_MNAR.csv_pipeline_2_7_10_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1408219991264972,0.0137916841000814,40,MNAR,R,COX,5
rotterdam_missing_40_MNAR.csv_pipeline_3_5_11_14_16_COX_cleaned,0.1924454547274751,0.0111380832964401,0.1724226606444929,0.0097386777723418,40,MNAR,R,COX,6
rotterdam_missing_40_MNAR.csv_pipeline_3_7_11_14_16_COX_cleaned,0.6589692941298398,0.0363711610534543,0.2273111071463691,0.0165489786495727,40,MNAR,R,COX,7
rotterdam_missing_40_MNAR.csv_pipeline_3_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1842729561629144,0.0182346514275239,40,MNAR,R,COX,8
rotterdam_missing_40_MNAR.csv_pipeline_3_8_11_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1864179805307513,0.0234261113663222,40,MNAR,R,COX,9
rotterdam_missing_40_MNAR.csv_pipeline_4_7_11_16_COX_cleaned,0.6206290381315106,0.0443129944194187,0.2431251025179362,0.0330027444367266,40,MNAR,R,COX,10
rotterdam_missing_50_MNAR.csv_pipeline_0_6_11_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2213598198666723,0.0279590187614551,50,MNAR,R,COX,1
rotterdam_missing_50_MNAR.csv_pipeline_0_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.196791278808808,0.0232020307245897,50,MNAR,R,COX,2
rotterdam_missing_50_MNAR.csv_pipeline_1_10_14_16_COX_cleaned,0.7959975213574503,0.1029578547225213,0.1755053617742964,0.0243781949348188,50,MNAR,R,COX,3
rotterdam_missing_50_MNAR.csv_pipeline_1_11_14_16_COX_cleaned,0.7851104386213505,0.0852138288525951,0.1748317449824819,0.0295731798756071,50,MNAR,R,COX,4
rotterdam_missing_50_MNAR.csv_pipeline_1_6_9_12_16_COX_cleaned,0.7484242913655028,0.1162512680171472,0.2149325205994322,0.0500664222586969,50,MNAR,R,COX,5
rotterdam_missing_50_MNAR.csv_pipeline_1_7_9_12_16_COX_cleaned,0.7484242913655028,0.1162512680171472,0.2213457279349718,0.0500843145629592,50,MNAR,R,COX,6
rotterdam_missing_50_MNAR.csv_pipeline_3_5_9_12_16_COX_cleaned,0.1872545529690474,0.0221165998953966,0.1783990061626197,0.0210710134271246,50,MNAR,R,COX,7
rotterdam_missing_50_MNAR.csv_pipeline_3_6_9_16_COX_cleaned,0.5919990335213962,0.0535214315810791,0.2033248525857601,0.0278805730210741,50,MNAR,R,COX,8
rotterdam_missing_50_MNAR.csv_pipeline_3_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.196791278808808,0.0232020307245897,50,MNAR,R,COX,9
rotterdam_missing_20_MNAR.csv_pipeline_0_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.1771918773784168,0.0120650099346281,20,MNAR,R,COX,1
rotterdam_missing_20_MNAR.csv_pipeline_0_6_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.231310475085029,0.0320896373518921,20,MNAR,R,COX,2
rotterdam_missing_20_MNAR.csv_pipeline_0_8_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1818893151168238,0.0240960463668025,20,MNAR,R,COX,3
rotterdam_missing_20_MNAR.csv_pipeline_1_6_11_12_16_COX_cleaned,0.6003934032438502,0.0532152517169704,0.227517046839459,0.0271731213167228,20,MNAR,R,COX,4
rotterdam_missing_20_MNAR.csv_pipeline_2_10_14_16_COX_cleaned,0.6797022678150684,0.0233094948324285,0.1505754644703825,0.0115545929529769,20,MNAR,R,COX,5
rotterdam_missing_20_MNAR.csv_pipeline_2_9_12_16_COX_cleaned,0.5774690526708428,0.1074985862034191,0.145123174965299,0.0144293801546676,20,MNAR,R,COX,6
rotterdam_missing_20_MNAR.csv_pipeline_3_6_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2264473933323738,0.0255724428679836,20,MNAR,R,COX,7
rotterdam_missing_20_MNAR.csv_pipeline_4_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1818858752549386,0.0241509744010146,20,MNAR,R,COX,8
rotterdam_missing_20_MNAR.csv_pipeline_4_5_10_12_16_COX_cleaned,0.1994997612764655,0.0247905835972037,0.1823046988260551,0.0154988250346071,20,MNAR,R,COX,9
rotterdam_missing_20_MNAR.csv_pipeline_4_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1799388894081531,0.0163237354204989,20,MNAR,R,COX,10
